1611905946.482722,bytearray(b'\x00\x00\x00\x00\x00'),-83,8.0
1611906286.5450644,bytearray(b'\xff&\x10_JV+\x00F\x01r\x01\xb5c\xd5\xfc'),-116,-14.0
1611906286.6557796,bytearray(b'\x00\x00\x00\x00\x00'),-90,11.75
1611906572.2526789,bytearray(b'\x00\x00\x00\x00\x00'),-88,9.75
1611906626.7207825,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-114,-14.0
1611906626.8314054,bytearray(b'\x00\x00\x00\x00\x00'),-88,9.0
1611906967.1372418,bytearray(b'\x00\x00\x00\x00\x00'),-93,9.75
1611907307.0743098,bytearray(b'\x00\x00\x00\x00\x00'),-93,11.5
1611907647.0069036,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-123,-7.75
1611907987.440502,bytearray(b'\x00\x00\x00\x00\x00'),-86,11.25
1611908327.3775218,bytearray(b'\x00\x00\x00\x00\x00'),-86,11.5
1611908369.4330225,bytearray(b'\x00\x00\x00\x00\x00'),-86,11.75
1611908655.800754,bytearray(b'\x00\x00\x00\x00\x00'),-86,11.75
1611908995.7354453,bytearray(b'\x00\x00\x00\x00\x00'),-86,11.0
1611909335.669059,bytearray(b'\x00\x00\x00\x00\x00'),-87,12.0
1611909676.110113,bytearray(b'\x00\x00\x00\x00\x00'),-86,11.25
1611910016.044286,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-120,-3.5
1611910166.7354848,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.0
1611910355.983244,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-120,-2.25
1611910696.4202113,bytearray(b'\x00\x00\x00\x00\x00'),-86,9.25
1611911036.3647177,bytearray(b'\x00\x00\x00\x00\x00'),-86,10.0
1611911376.3066683,bytearray(b'\x00\x00\x00\x00\x00'),-85,10.25
1611911716.7390754,bytearray(b'\x00\x00\x00\x00\x00'),-85,10.75
1611912056.6771474,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-119,0.0
1611912397.1148171,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.25
1611912737.0520298,bytearray(b'\x00\x00\x00\x00\x00'),-86,11.5
1611913077.493895,bytearray(b'\x00\x00\x00\x00\x00'),-86,10.0
1611913417.4288921,bytearray(b'\x00\x00\x00\x00\x00'),-85,11.5
1611913757.3734405,bytearray(b'\x00\x00\x00\x00\x00'),-84,11.5
1611914097.808712,bytearray(b'\x00\x00\x00\x00\x00'),-84,11.25
1611914437.744019,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.75
1611914777.6778598,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-120,-1.75
1611915118.117095,bytearray(b'\x00\x00\x00\x00\x00'),-84,11.75
1611915458.0542493,bytearray(b'\x00\x00\x00\x00\x00'),-84,11.5
1611915559.1842365,bytearray(b'\xff&\x0f\x07ZP\x00\x00a\xc5\x01\xe57\x9b\x9d'),-121,-10.0
1611915797.9882329,bytearray(b'\x00\x00\x00\x00\x00'),-84,11.5
1611916137.9296522,bytearray(b'\x00\x00\x00\x00\x00'),-84,11.5
1611916477.8755755,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-119,-1.25
1611916818.3185222,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.0
1611917158.2526116,bytearray(b'\x00\x00\x00\x00\x00'),-85,8.75
1611917357.5075772,bytearray(b'\x00\x00\x00\x00\x00'),-85,8.75
1611917498.1915994,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.25
1611917838.1242967,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.0
1611918178.0606635,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.25
1611918518.505627,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.25
1611918858.448859,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.5
1611919154.8308637,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.25
1611919198.88998,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.5
1611919538.8309872,bytearray(b'\x00\x00\x00\x00\x00'),-85,9.5
1611919879.2717826,bytearray(b'\x00\x00\x00\x00\x00'),-84,11.5
1611920219.213962,bytearray(b'\x00\x00\x00\x00\x00'),-90,9.5
1611920559.1484778,bytearray(b'\x00\x00\x00\x00\x00'),-90,9.25
1611920899.579349,bytearray(b'\x00\x00\x00\x00\x00'),-89,9.5
1611920952.146386,bytearray(b'\x00\x00\x00\x00\x00'),-89,9.25
1611921238.5072834,bytearray(b'\x00\x00\x00\x00\x00'),-91,11.75
Restart 22:55
1611921578.4617746,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-117,-12.5
1611921918.5925314,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-119,-7.75
1611922258.8320878,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-119,-7.25
1611922598.475638,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-7.0
1611922598.6782625,bytearray(b'\x00\x00\x00\x00\x00'),-91,12.25
1611922748.6350238,bytearray(b'\x00\x00\x00\x00\x00'),-91,12.0
1611922938.7583096,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-8.5
2021-01-29 12:27:58,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-7.25
2021-01-29 12:33:38,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-8.5
2021-01-29 12:39:18,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-119,-8.0
2021-01-29 12:44:58,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-7.75
2021-01-29 12:49:05,bytearray(b'\x00\x00\x00\x00\x00'),-91,11.5
2021-01-29 12:50:38,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-7.5
2021-01-29 12:50:38,bytearray(b'\x00\x00\x00\x00\x00'),-91,12.25
2021-01-29 12:56:18,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-8.25
2021-01-29 13:01:58,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-6.75
2021-01-29 13:07:39,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-5.25
2021-01-29 13:13:19,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-120,-4.25
2021-01-29 13:18:59,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-5.5
2021-01-29 13:19:02,bytearray(b'\x00\x00\x00\x00\x00'),-89,10.75
2021-01-29 13:23:49,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-6.0
2021-01-29 13:29:28,bytearray(b'\xff&\x10_JVx\x00F\x01r\x01c:6\xe1'),-122,-5.75
2021-01-29 13:35:08,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-6.0
2021-01-29 13:40:48,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-123,-5.75
2021-01-29 13:46:29,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-6.0
2021-01-29 13:48:59,bytearray(b'\x00\x00\x00\x00\x00'),-80,14.0
2021-01-29 13:52:09,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-5.5
2021-01-29 13:57:49,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-121,-6.5
2021-01-29 13:57:49,bytearray(b'\x00\x00\x00\x00\x00'),-91,11.0
2021-01-29 14:03:29,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-123,-7.5
2021-01-29 14:09:09,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-122,-7.5
2021-01-29 14:14:49,bytearray(b'\xff&\x10_JV~\x00F\x01r\x01\xb5c\xd5\xfc'),-123,-7.0
